id,preferred_name,protein_size,annotation
9685.ENSFCAP00000025722,ND1,318,NADH-ubiquinone oxidoreductase chain 1; Core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I) that is believed to belong to the minimal assembly required for catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone (By similarity).
9685.ENSFCAP00000025723,CD1H11orf49,331,Chromosome D1 C11orf49 homolog.
9685.ENSFCAP00000025729,NOL7,258,Nucleolar protein 7.
9685.ENSFCAP00000025736,ARHGEF7,921,Rho guanine nucleotide exchange factor 7.
9685.ENSFCAP00000025751,NLRP10,639,NLR family pyrin domain containing 10.
9685.ENSFCAP00000025777,DEFB121,76,Beta-defensin; Has antibacterial activity; Belongs to the beta-defensin family.
9685.ENSFCAP00000025784,DLX2,331,Distal-less homeobox 2.
9685.ENSFCAP00000025794,GP5,562,Glycoprotein V platelet.
9685.ENSFCAP00000025795,LYPD6,171,LY6/PLAUR domain containing 6.
9685.ENSFCAP00000025799,MYL9,172,Myosin light chain 9.
9685.ENSFCAP00000025800,METRN,434,Meteorin, glial cell differentiation regulator.
9685.ENSFCAP00000025802,CA11,328,Carbonic anhydrase 11; Belongs to the alpha-carbonic anhydrase family.
9685.ENSFCAP00000025803,SEMA6A,1047,Semaphorin 6A; Belongs to the semaphorin family.
9685.ENSFCAP00000025805,CORO1C,525,Coronin; Belongs to the WD repeat coronin family.
9685.ENSFCAP00000025806,SMTN,948,Smoothelin.
9685.ENSFCAP00000025809,ENSFCAP00000025809,191,Uncharacterized protein.
9685.ENSFCAP00000025816,ENSFCAP00000025816,145,Uncharacterized protein; Belongs to the chaperonin (HSP60) family.
9685.ENSFCAP00000025819,PAFAH1B1,410,Platelet-activating factor acetylhydrolase IB subunit alpha; Positively regulates the activity of the minus-end directed microtubule motor protein dynein. May enhance dynein-mediated microtubule sliding by targeting dynein to the microtubule plus end. Required for several dynein- and microtubule-dependent processes such as the maintenance of Golgi integrity, the peripheral transport of microtubule fragments and the coupling of the nucleus and centrosome. Required during brain development for the proliferation of neuronal precursors and the migration of newly formed neurons from the ven [...] 
9685.ENSFCAP00000025821,EFCAB6,273,EF-hand_11 domain-containing protein.
9685.ENSFCAP00000025827,G6PC,357,Glucose-6-phosphatase; Hydrolyzes glucose-6-phosphate to glucose in the endoplasmic reticulum. Forms with the glucose-6-phosphate transporter (SLC37A4/G6PT) the complex responsible for glucose production through glycogenolysis and gluconeogenesis. Hence, it is the key enzyme in homeostatic regulation of blood glucose levels (By similarity). Belongs to the glucose-6-phosphatase family.
9685.ENSFCAP00000025832,LBX1,281,Ladybird homeobox 1.
9685.ENSFCAP00000025836,ENSFCAP00000025836,120,Uncharacterized protein.
9685.ENSFCAP00000025838,NUDT15,164,Nudix hydrolase 15.
9685.ENSFCAP00000025842,RTN4RL1,445,Reticulon 4 receptor like 1.
9685.ENSFCAP00000025846,TMC2,873,Transmembrane channel-like protein.
9685.ENSFCAP00000025854,IQCK,272,IQ motif containing K.
9685.ENSFCAP00000025862,ZKSCAN5,840,Zinc finger with KRAB and SCAN domains 5.
9685.ENSFCAP00000025865,ENSFCAP00000025865,71,Uncharacterized protein.
9685.ENSFCAP00000025869,OAF,283,Out at first homolog.
9685.ENSFCAP00000025871,BMP10,424,TGF_BETA_2 domain-containing protein.
9685.ENSFCAP00000025877,CD1H11orf86,114,Chromosome 11 open reading frame 86.
9685.ENSFCAP00000025880,FUT8,575,Alpha-(1,6)-fucosyltransferase; Catalyzes the addition of fucose in alpha 1-6 linkage to the first GlcNAc residue, next to the peptide chains in N-glycans. Belongs to the glycosyltransferase 23 family.
9685.ENSFCAP00000025885,BPGM,260,Phosphoglycerate mutase; Belongs to the phosphoglycerate mutase family. BPG- dependent PGAM subfamily.
9685.ENSFCAP00000025887,IL36RN,196,Interleukin-1.
9685.ENSFCAP00000025888,DNAJB1,340,DnaJ heat shock protein family (Hsp40) member B1.
9685.ENSFCAP00000025891,KHNYN,677,KH and NYN domain containing.
9685.ENSFCAP00000025892,LOC101083202,311,Olfactory receptor.
9685.ENSFCAP00000025898,ENSFCAP00000025898,65,Guanine nucleotide-binding protein subunit gamma; Guanine nucleotide-binding proteins (G proteins) are involved as a modulator or transducer in various transmembrane signaling systems. The beta and gamma chains are required for the GTPase activity, for replacement of GDP by GTP, and for G protein-effector interaction.
9685.ENSFCAP00000025910,PKD2,970,Polycystin 2, transient receptor potential cation channel.
9685.ENSFCAP00000025918,FDPS,420,Farnesyl diphosphate synthase; Belongs to the FPP/GGPP synthase family.
9685.ENSFCAP00000025926,PRR7,269,Proline rich 7, synaptic.
9685.ENSFCAP00000025928,ATM,3064,Serine-protein kinase ATM; Serine/threonine protein kinase which activates checkpoint signaling upon double strand breaks (DSBs), apoptosis and genotoxic stresses such as ionizing ultraviolet A light (UVA), thereby acting as a DNA damage sensor. Recognizes the substrate consensus sequence [ST]- Q. Phosphorylates 'Ser-139' of histone variant H2AX/H2AFX at double strand breaks (DSBs), thereby regulating DNA damage response mechanism. Also plays a role in pre-B cell allelic exclusion, a process leading to expression of a single immunoglobulin heavy chain allele to enforce clonality and mo [...] 
9685.ENSFCAP00000025933,GUCY2F,1108,Guanylate cyclase.
9685.ENSFCAP00000025946,TPGS1,291,Tubulin polyglutamylase complex subunit 1.
9685.ENSFCAP00000025949,LOC101085786,83,Uncharacterized protein.
9685.ENSFCAP00000025953,CEND1,149,Cell cycle exit and neuronal differentiation 1.
9685.ENSFCAP00000025955,ENSFCAP00000025955,135,Uncharacterized protein.
9685.ENSFCAP00000025960,DCAF1,1507,DDB1 and CUL4 associated factor 1.
9685.ENSFCAP00000025967,TOX3,565,TOX high mobility group box family member 3.
9685.ENSFCAP00000025976,SSPN,242,Sarcospan.
9685.ENSFCAP00000025978,BGN,1485,Calcium-transporting ATPase; This magnesium-dependent enzyme catalyzes the hydrolysis of ATP coupled with the transport of calcium.
9685.ENSFCAP00000025981,ENSFCAP00000025981,338,Uncharacterized protein.
9685.ENSFCAP00000025987,FUNDC1,155,Uncharacterized protein.
9685.ENSFCAP00000025991,ENSFCAP00000025991,134,Uncharacterized protein; Belongs to the cytochrome P450 family.
9685.ENSFCAP00000026001,WASL,505,WASP like actin nucleation promoting factor.
9685.ENSFCAP00000026006,NDN,324,Necdin, MAGE family member.
9685.ENSFCAP00000026012,XK,444,XK-related protein.
9685.ENSFCAP00000026025,MYO7A,2215,Myosin VIIA; Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family.
9685.ENSFCAP00000026029,HTR2A,470,5-hydroxytryptamine receptor 2A.
9685.ENSFCAP00000026044,HMMR,714,Hyaluronan mediated motility receptor.
9685.ENSFCAP00000026047,LRIT1,619,Leucine rich repeat, Ig-like and transmembrane domains 1.
9685.ENSFCAP00000026048,PLA2G4D,814,Phospholipase A2.
9685.ENSFCAP00000026050,SRSF6,344,Serine and arginine rich splicing factor 6.
9685.ENSFCAP00000026051,LOC101087231,673,Kinesin-like protein; Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family.
9685.ENSFCAP00000026071,AOC2,756,Amine oxidase.
9685.ENSFCAP00000026088,BCHE,630,Cholinesterase; Esterase with broad substrate specificity. Contributes to the inactivation of the neurotransmitter acetylcholine. Can degrade neurotoxic organophosphate esters (By similarity); Belongs to the type-B carboxylesterase/lipase family.
9685.ENSFCAP00000026090,LAMB3,1217,Laminin subunit beta 3.
9685.ENSFCAP00000026096,CB1H4orf33,222,Chromosome B1 C4orf33 homolog.
9685.ENSFCAP00000026102,TTYH2,691,Protein tweety homolog; Probable chloride channel.
9685.ENSFCAP00000026104,ENSFCAP00000026104,296,MPN domain-containing protein.
9685.ENSFCAP00000026105,BOC,1112,BOC cell adhesion associated, oncogene regulated.
9685.ENSFCAP00000026106,MEI4,386,Meiotic double-stranded break formation protein 4.
9685.ENSFCAP00000026110,GATC,136,Glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial; Allows the formation of correctly charged Gln-tRNA(Gln) through the transamidation of misacylated Glu-tRNA(Gln) in the mitochondria. The reaction takes place in the presence of glutamine and ATP through an activated gamma-phospho-Glu-tRNA(Gln). Belongs to the GatC family.
9685.ENSFCAP00000026112,MYL1,200,Myosin light chain 1.
9685.ENSFCAP00000026119,SIX3,371,SIX homeobox 3.
9685.ENSFCAP00000026120,MYNN,610,Myoneurin.
9685.ENSFCAP00000026129,FHIT,149,Bis(5'-adenosyl)-triphosphatase.
9685.ENSFCAP00000026132,NT5C2,561,5'-nucleotidase, cytosolic II.
9685.ENSFCAP00000026134,CBLC,494,Cbl proto-oncogene C.
9685.ENSFCAP00000026146,RBM45,474,RNA binding motif protein 45.
9685.ENSFCAP00000026152,FBRS,982,Fibrosin.
9685.ENSFCAP00000026153,CBY2,413,Spermatid associated.
9685.ENSFCAP00000026156,GHITM,345,Growth hormone inducible transmembrane protein; Belongs to the BI1 family.
9685.ENSFCAP00000026157,NRDC,1226,Nardilysin convertase.
9685.ENSFCAP00000026158,SLC37A4,451,Solute carrier family 37 member 4.
9685.ENSFCAP00000026162,CD4H9orf24,298,Chromosome D4 C9orf24 homolog.
9685.ENSFCAP00000026163,ZNF12,695,Zinc finger protein 12.
9685.ENSFCAP00000026164,CB3H15orf41,305,Chromosome B3 C15orf41 homolog.
9685.ENSFCAP00000026166,RNF43,782,RING-type domain-containing protein.
9685.ENSFCAP00000026168,ENSFCAP00000026168,127,DMRT-like domain-containing protein.
9685.ENSFCAP00000026171,ENSFCAP00000026171,110,Uncharacterized protein.
9685.ENSFCAP00000026179,FBXO16,340,F-box protein 16.
9685.ENSFCAP00000026182,VOPP1,156,VOPP1 WW domain binding protein.
9685.ENSFCAP00000026184,LARP7,582,La ribonucleoprotein domain family member 7.
9685.ENSFCAP00000026214,GJC1,396,Gap junction protein; One gap junction consists of a cluster of closely packed pairs of transmembrane channels, the connexons, through which materials of low MW diffuse from one cell to a neighboring cell.
9685.ENSFCAP00000026215,MTRF1L,379,Mitochondrial translational release factor 1 like.
9685.ENSFCAP00000026227,ARL4C,202,ADP ribosylation factor like GTPase 4C; Belongs to the small GTPase superfamily. Arf family.
9685.ENSFCAP00000026233,CE1H17orf80,602,Chromosome 17 open reading frame 80.
9685.ENSFCAP00000026247,TPO,698,Thyroid peroxidase.
9685.ENSFCAP00000026251,SCAMP4,230,Secretory carrier-associated membrane protein.
9685.ENSFCAP00000026252,MOB4,52,Uncharacterized protein.
9685.ENSFCAP00000026254,MAEA,434,Macrophage erythroblast attacher.
9685.ENSFCAP00000026259,CYP4F8,479,Cytochrome P450 family 4 subfamily F member 8; Belongs to the cytochrome P450 family.
9685.ENSFCAP00000026263,SRP9,138,Signal recognition particle 9.
9685.ENSFCAP00000026268,TRH,276,Thyrotropin releasing hormone.
9685.ENSFCAP00000026293,ENSFCAP00000026293,183,Ig-like domain-containing protein.
9685.ENSFCAP00000026294,PCMTD2,376,Protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 2.
9685.ENSFCAP00000026295,CCDC154,524,Coiled-coil domain containing 154.
9685.ENSFCAP00000026298,ENSFCAP00000026298,101,40S ribosomal protein S26; Belongs to the eukaryotic ribosomal protein eS26 family.
9685.ENSFCAP00000026299,SLMAP,845,Sarcolemma associated protein.
9685.ENSFCAP00000026323,DYM,696,Dymeclin.
9685.ENSFCAP00000026330,DPF3,426,Double PHD fingers 3.
9685.ENSFCAP00000026331,TENM2,2774,Teneurin transmembrane protein 2.
9685.ENSFCAP00000026332,RPS12,132,40S ribosomal protein S12; Belongs to the eukaryotic ribosomal protein eS12 family.
9685.ENSFCAP00000026342,ITSN1,1721,Intersectin 1.
9685.ENSFCAP00000026344,TUBA1A,558,Tubulin alpha 1a; Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain.
9685.ENSFCAP00000026349,FGD6,1423,FYVE, RhoGEF and PH domain containing 6.
9685.ENSFCAP00000026350,C9orf64,341,Queuosine salvage protein; Involved in salvaging queuosine.
9685.ENSFCAP00000026353,CD1E,419,CD1e molecule.
9685.ENSFCAP00000026354,LOC102900923,313,Olfactory receptor.
9685.ENSFCAP00000026356,ENSFCAP00000026356,77,Uncharacterized protein.
9685.ENSFCAP00000026358,SLC24A1,1097,Solute carrier family 24 member 1; Belongs to the Ca(2+):cation antiporter (CaCA) (TC 2.A.19) family.
9685.ENSFCAP00000026359,COLEC12,753,Collectin subfamily member 12.
9685.ENSFCAP00000026362,WSCD2,564,WSC domain containing 2.
9685.ENSFCAP00000026365,LOC105260993,312,Olfactory receptor.
9685.ENSFCAP00000026367,LZTS2,645,Leucine zipper tumor suppressor 2.
9685.ENSFCAP00000026376,RELB,582,RELB proto-oncogene, NF-kB subunit.
9685.ENSFCAP00000026378,ANO9,769,Anoctamin.
9685.ENSFCAP00000026383,CTSW,374,Cathepsin W; May have a specific function in the mechanism or regulation of T-cell cytolytic activity; Belongs to the peptidase C1 family.
9685.ENSFCAP00000026384,MAP3K9,1102,Mitogen-activated protein kinase kinase kinase.
9685.ENSFCAP00000026386,CIAO1,339,Probable cytosolic iron-sulfur protein assembly protein CIAO1; Key component of the cytosolic iron-sulfur protein assembly (CIA) complex, a multiprotein complex that mediates the incorporation of iron-sulfur cluster into extramitochondrial Fe/S proteins. Seems to specifically modulate the transactivation activity of WT1. As part of the mitotic spindle-associated MMXD complex it may play a role in chromosome segregation; Belongs to the WD repeat CIA1 family.
9685.ENSFCAP00000026389,CHPF,775,Hexosyltransferase.
9685.ENSFCAP00000026391,SERPINB7,419,Serpin family B member 7; Belongs to the serpin family.
9685.ENSFCAP00000026393,C9orf116,146,Chromosome 9 open reading frame 116.
9685.ENSFCAP00000026394,GNAT3,354,G protein subunit alpha transducin 3.
9685.ENSFCAP00000026396,ENSFCAP00000026396,83,Uncharacterized protein.
9685.ENSFCAP00000026399,ZNF175,714,Zinc finger protein 175.
9685.ENSFCAP00000026400,SEZ6,1139,Seizure related 6 homolog.
9685.ENSFCAP00000026404,RPS27,84,40S ribosomal protein S27.
9685.ENSFCAP00000026406,ZNF550,420,Uncharacterized protein.
9685.ENSFCAP00000026410,GAP43,242,Neuromodulin; This protein is associated with nerve growth. It is a major component of the motile 'growth cones' that form the tips of elongating axons. Plays a role in axonal and dendritic filopodia induction (By similarity).
9685.ENSFCAP00000026417,SIX2,296,SIX homeobox 2.
9685.ENSFCAP00000026419,AURKC,278,Aurora kinase C; Belongs to the protein kinase superfamily.
9685.ENSFCAP00000026422,DPH3,82,Diphthamide biosynthesis 3.
9685.ENSFCAP00000026423,MAP1S,78,Uncharacterized protein.
9685.ENSFCAP00000026425,FABP12,140,Fatty acid binding protein 12; Belongs to the calycin superfamily. Fatty-acid binding protein (FABP) family.
9685.ENSFCAP00000026431,GLA,420,Alpha-galactosidase.
9685.ENSFCAP00000026433,LOC101091239,316,Vomeronasal type-1 receptor.
9685.ENSFCAP00000026442,ZNF235,724,Zinc finger protein 235.
9685.ENSFCAP00000026456,ENSFCAP00000026456,128,Uncharacterized protein; Belongs to the eukaryotic initiation factor 4E family.
9685.ENSFCAP00000026458,ENSFCAP00000026458,63,Uncharacterized protein.
9685.ENSFCAP00000026463,RNF7,113,Ring finger protein 7.
9685.ENSFCAP00000026468,LOC101084705,989,AIRC domain-containing protein.
9685.ENSFCAP00000026474,TRIM2,878,Tripartite motif containing 2.
9685.ENSFCAP00000026478,AFM,601,Afamin.
9685.ENSFCAP00000026480,CSGALNACT2,542,Hexosyltransferase.
9685.ENSFCAP00000026481,LOC111556258,1736,Fibrillar collagen NC1 domain-containing protein.
9685.ENSFCAP00000026483,TREML2,333,Triggering receptor expressed on myeloid cells like 2.
9685.ENSFCAP00000026484,WBP1,301,WW domain binding protein 1.
9685.ENSFCAP00000026485,RUFY1,701,RUN and FYVE domain containing 1.
9685.ENSFCAP00000026490,SPINK14,77,Serine peptidase inhibitor, Kazal type 14 (putative).
9685.ENSFCAP00000026491,DOCK5,1863,Dedicator of cytokinesis 5; Belongs to the DOCK family.
9685.ENSFCAP00000026497,CCT8,553,Chaperonin containing TCP1 subunit 8.
9685.ENSFCAP00000026516,TASOR,1665,Transcription activation suppressor.
9685.ENSFCAP00000026523,ENSFCAP00000026523,304,Uncharacterized protein.
9685.ENSFCAP00000026525,ZRANB3,1072,Zinc finger RANBP2-type containing 3.
9685.ENSFCAP00000026531,IL12B,359,Interleukin-12 subunit beta; Cytokine that can act as a growth factor for activated T and NK cells, enhance the lytic activity of NK/lymphokine-activated killer cells, and stimulate the production of IFN-gamma by resting PBMC. Belongs to the IL-12B family.
9685.ENSFCAP00000026534,BNIPL,275,BCL2 interacting protein like.
9685.ENSFCAP00000026535,TPD52,246,Uncharacterized protein.
9685.ENSFCAP00000026539,ARGLU1,273,Arginine and glutamate rich 1.
9685.ENSFCAP00000026547,KLHDC1,406,Kelch domain containing 1.
9685.ENSFCAP00000026553,ENSFCAP00000026553,58,Guanine nucleotide-binding protein subunit gamma; Guanine nucleotide-binding proteins (G proteins) are involved as a modulator or transducer in various transmembrane signaling systems. The beta and gamma chains are required for the GTPase activity, for replacement of GDP by GTP, and for G protein-effector interaction.
9685.ENSFCAP00000026554,CBLB,1182,Cbl proto-oncogene B.
9685.ENSFCAP00000026570,TDP1,608,Tyrosyl-DNA phosphodiesterase 1.
9685.ENSFCAP00000026574,FAS,314,Uncharacterized protein.
9685.ENSFCAP00000026580,CAPN9,690,Calpain 9; Belongs to the peptidase C2 family.
9685.ENSFCAP00000026582,TNFSF14,242,Tumor necrosis factor ligand 1D; Belongs to the tumor necrosis factor family.
9685.ENSFCAP00000026585,ENSFCAP00000026585,188,Uncharacterized protein.
9685.ENSFCAP00000026591,PLEKHA6,1253,Pleckstrin homology domain containing A6.
9685.ENSFCAP00000026598,LRRC28,367,Leucine rich repeat containing 28.
9685.ENSFCAP00000026601,COL6A2,1023,Collagen type VI alpha 2 chain.
9685.ENSFCAP00000026602,LOC101087401,128,Histone H2A; Belongs to the histone H2A family.
9685.ENSFCAP00000026605,TPT1,198,Tumor protein, translationally-controlled 1; Belongs to the TCTP family.
9685.ENSFCAP00000026608,ANKRD22,191,Ankyrin repeat domain 22.
9685.ENSFCAP00000026617,ENSFCAP00000026617,78,Ubiquitin-like domain-containing protein.
9685.ENSFCAP00000026624,MTFP1,166,Mitochondrial fission process 1.
9685.ENSFCAP00000026628,KHK,298,Ketohexokinase.
9685.ENSFCAP00000026638,INTS14,518,Integrator complex subunit 14.
9685.ENSFCAP00000026645,LRRC52,315,Leucine rich repeat containing 52.
9685.ENSFCAP00000026649,LOC101091348,160,Uncharacterized protein; Belongs to the glycosyl hydrolase 22 family.
9685.ENSFCAP00000026652,LAMTOR3,124,Uncharacterized protein.
9685.ENSFCAP00000026653,SH3BGRL,114,SH3 domain-binding glutamic acid-rich-like protein; Belongs to the SH3BGR family.
9685.ENSFCAP00000026662,DNASE1L3,311,Deoxyribonuclease; Belongs to the DNase I family.
9685.ENSFCAP00000026663,MLST8,326,MTOR associated protein, LST8 homolog.
9685.ENSFCAP00000026667,GDF10,503,Growth differentiation factor 10.
9685.ENSFCAP00000026671,DCTPP1,170,dCTP pyrophosphatase 1; Hydrolyzes deoxynucleoside triphosphates (dNTPs) to the corresponding nucleoside monophosphates. Has a strong preference for dCTP and its analogs including 5-iodo-dCTP and 5-methyl-dCTP for which it may even have a higher efficiency. May protect DNA or RNA against the incorporation of these genotoxic nucleotide analogs through their catabolism.
9685.ENSFCAP00000026679,TMEM165,324,GDT1 family protein.
9685.ENSFCAP00000026683,CWC22,908,CWC22 spliceosome associated protein homolog.
9685.ENSFCAP00000026694,GNB4,340,G protein subunit beta 4.
9685.ENSFCAP00000026704,CGA,152,Glycoprotein hormones alpha chain; Shared alpha chain of the active heterodimeric glycoprotein hormones thyrotropin/thyroid stimulating hormone/TSH, lutropin/luteinizing hormone/LH and follitropin/follicle stimulating hormone/FSH. These hormones bind specific receptors on target cells that in turn activate downstream signaling pathways.
9685.ENSFCAP00000026708,MIEF2,453,Mitochondrial elongation factor 2.
9685.ENSFCAP00000026709,C9orf16,83,Chromosome 9 open reading frame 16.
9685.ENSFCAP00000026718,RUNX3,426,Runt-related transcription factor; Forms the heterodimeric complex core-binding factor (CBF) with CBFB. RUNX members modulate the transcription of their target genes through recognizing the core consensus binding sequence 5'- TGTGGT-3', or very rarely, 5'-TGCGGT-3', within their regulatory regions via their runt domain, while CBFB is a non-DNA-binding regulatory subunit that allosterically enhances the sequence-specific DNA-binding capacity of RUNX.
9685.ENSFCAP00000026719,CUL4B,911,Cullin 4B; Belongs to the cullin family.
9685.ENSFCAP00000026720,TMEM45B,296,Transmembrane protein 45B.
9685.ENSFCAP00000026723,PTOV1,415,PTOV1 extended AT-hook containing adaptor protein.
9685.ENSFCAP00000026725,ENSFCAP00000026725,67,Uncharacterized protein.
9685.ENSFCAP00000026731,ELP1,1332,Elongator complex protein 1; Component of the RNA polymerase II elongator complex, a multiprotein complex associated with the RNA polymerase II (Pol II) holoenzyme, and which is involved in transcriptional elongation. Belongs to the ELP1/IKA1 family.
9685.ENSFCAP00000026733,PATE2,113,Prostate and testis expressed 2.
9685.ENSFCAP00000026737,MARCKSL1,198,MARCKS like 1.
9685.ENSFCAP00000026740,LOC101082325,318,Olfactory receptor.
9685.ENSFCAP00000026746,ZNF536,1441,Zinc finger protein 536.
9685.ENSFCAP00000026757,MTHFR,695,Methylenetetrahydrofolate reductase; Belongs to the methylenetetrahydrofolate reductase family.
9685.ENSFCAP00000026759,SUN3,353,Sad1 and UNC84 domain containing 3.
9685.ENSFCAP00000026776,ENSFCAP00000026776,228,zf-Di19 domain-containing protein.
9685.ENSFCAP00000026777,HIPK2,1222,Homeodomain interacting protein kinase 2.
9685.ENSFCAP00000026780,USP9X,2554,Ubiquitin specific peptidase 9 X-linked; Belongs to the peptidase C19 family.
9685.ENSFCAP00000026784,FAM193A,1418,Family with sequence similarity 193 member A.
9685.ENSFCAP00000026786,ZNF8,575,Zinc finger protein 8.
9685.ENSFCAP00000026790,GPR83,422,G protein-coupled receptor 83; Belongs to the G-protein coupled receptor 1 family.
9685.ENSFCAP00000026796,ZNF45,690,Zinc finger protein 45.
9685.ENSFCAP00000026797,MRPL20,149,Mitochondrial ribosomal protein L20; Belongs to the bacterial ribosomal protein bL20 family.
9685.ENSFCAP00000026798,TBCCD1,574,TBCC domain containing 1.
9685.ENSFCAP00000026799,LRATD2,315,LRAT domain containing 2.
9685.ENSFCAP00000026800,ENSFCAP00000026800,53,Uncharacterized protein.
9685.ENSFCAP00000026806,CNTD1,328,Cyclin N-terminal domain containing 1.
9685.ENSFCAP00000026821,EXOC1L,172,Exocyst complex component 1 like.
9685.ENSFCAP00000026823,SFT2D1,332,Vesicle transport protein; May be involved in fusion of retrograde transport vesicles derived from an endocytic compartment with the Golgi complex. Belongs to the SFT2 family.
9685.ENSFCAP00000026828,DDX56,1331,NPC1 like intracellular cholesterol transporter 1.
9685.ENSFCAP00000026830,LOC101089393,314,Olfactory receptor.
9685.ENSFCAP00000026833,NOP10,64,NOP10 ribonucleoprotein.
9685.ENSFCAP00000026835,ENSFCAP00000026835,73,Uncharacterized protein.
9685.ENSFCAP00000026837,LOC105260968,341,Olfactory receptor.
9685.ENSFCAP00000026847,DUSP13,333,Dual specificity phosphatase 13; Belongs to the protein-tyrosine phosphatase family. Non- receptor class dual specificity subfamily.
9685.ENSFCAP00000026852,XRCC4,332,X-ray repair cross complementing 4.
9685.ENSFCAP00000026854,CFI,602,Complement factor I; Belongs to the peptidase S1 family.
9685.ENSFCAP00000026868,ZDHHC21,299,Palmitoyltransferase; Belongs to the DHHC palmitoyltransferase family.
9685.ENSFCAP00000026869,SPINK7,85,Serine peptidase inhibitor, Kazal type 7 (putative).
9685.ENSFCAP00000026871,TMEM9,298,Transmembrane protein 9.
9685.ENSFCAP00000026874,GOSR1,250,Golgi SNAP receptor complex member 1; Involved in transport from the ER to the Golgi apparatus as well as in intra-Golgi transport. It belongs to a super-family of proteins called t-SNAREs or soluble NSF (N-ethylmaleimide-sensitive factor) attachment protein receptor.
9685.ENSFCAP00000026875,SMUG1,272,Single-strand-selective monofunctional uracil-DNA glycosylase 1.
9685.ENSFCAP00000026882,LOC101082924,314,Olfactory receptor.
9685.ENSFCAP00000026887,C4orf46,113,Chromosome 4 open reading frame 46.
9685.ENSFCAP00000026896,ATG4C,458,Cysteine protease; Cysteine protease required for the cytoplasm to vacuole transport (Cvt) and autophagy; Belongs to the peptidase C54 family.
9685.ENSFCAP00000026899,RMND5B,393,Required for meiotic nuclear division 5 homolog B.
9685.ENSFCAP00000026906,BORCS5,196,BLOC-1 related complex subunit 5.
9685.ENSFCAP00000026907,PRSS12,1086,Serine protease 12; Belongs to the peptidase S1 family.
9685.ENSFCAP00000026908,HHAT,491,Hedgehog acyltransferase; Belongs to the membrane-bound acyltransferase family.
9685.ENSFCAP00000026911,LENEP,61,Lens epithelial protein.
9685.ENSFCAP00000026917,LOC101091721,491,Uncharacterized protein.
9685.ENSFCAP00000026919,SLC4A11,883,Solute carrier family 4 member 11.
9685.ENSFCAP00000026920,DNAJA1,397,DnaJ heat shock protein family (Hsp40) member A1.
9685.ENSFCAP00000026927,MTMR3,1222,Myotubularin related protein 3.
9685.ENSFCAP00000026931,ENSFCAP00000026931,84,Uncharacterized protein.
9685.ENSFCAP00000026945,GNG11,73,Guanine nucleotide-binding protein subunit gamma; Guanine nucleotide-binding proteins (G proteins) are involved as a modulator or transducer in various transmembrane signaling systems. The beta and gamma chains are required for the GTPase activity, for replacement of GDP by GTP, and for G protein-effector interaction.
9685.ENSFCAP00000026947,ALKBH2,260,AlkB homolog 2, alpha-ketoglutarate dependent dioxygenase.
9685.ENSFCAP00000026948,SLC25A41,368,Solute carrier family 25 member 41; Belongs to the mitochondrial carrier (TC 2.A.29) family.
9685.ENSFCAP00000026949,ENSFCAP00000026949,135,14_3_3 domain-containing protein; Belongs to the 14-3-3 family.
9685.ENSFCAP00000026950,HEPH,1180,Hephaestin; Belongs to the multicopper oxidase family.
9685.ENSFCAP00000026952,ENSFCAP00000026952,99,Uncharacterized protein.
9685.ENSFCAP00000026954,SPICE1,862,Uncharacterized protein.
9685.ENSFCAP00000026955,ASPH,692,Aspartate beta-hydroxylase.
9685.ENSFCAP00000026957,ACTN4,933,Actinin alpha 4.
9685.ENSFCAP00000026961,RFX3,787,Regulatory factor X3.
9685.ENSFCAP00000026963,ENSFCAP00000026963,73,Uncharacterized protein.
9685.ENSFCAP00000026965,CEP128,1154,Centrosomal protein 128.
9685.ENSFCAP00000026972,WDR83,315,WD repeat domain 83.
9685.ENSFCAP00000026975,PSMB6,239,Proteasome subunit beta.
9685.ENSFCAP00000026977,RANBP1,278,RAN binding protein 1.
9685.ENSFCAP00000026978,ENSFCAP00000026978,111,Uncharacterized protein.
9685.ENSFCAP00000026980,ENSFCAP00000026980,196,Ig-like domain-containing protein.
9685.ENSFCAP00000026981,DMRT3,477,Doublesex and mab-3 related transcription factor 3.
9685.ENSFCAP00000026984,ENSFCAP00000026984,206,G_PROTEIN_RECEP_F1_2 domain-containing protein.
9685.ENSFCAP00000026985,FOSL1,273,FOS like 1, AP-1 transcription factor subunit.
9685.ENSFCAP00000026986,R3HDM1,1133,R3H domain containing 1.
9685.ENSFCAP00000026993,IGFBP7,282,Insulin like growth factor binding protein 7.
9685.ENSFCAP00000026997,GTF2IRD1,979,GTF2I repeat domain containing 1.
9685.ENSFCAP00000026999,LOC101099980,317,Olfactory receptor.
9685.ENSFCAP00000027000,PRPF38B,507,Pre-mRNA processing factor 38B.
